Ssp1Ag0001,,,,,,,
Ssp1Ag0002,,,Ssp1Dg0082,,,,
Ssp1Ag0003,,,.,,,,
Ssp1Ag0004,,,Ssp1Dg0056,,,,
Ssp1Ag0005,,,.,,,,
Ssp1Ag0006,,,.,,,,
Ssp1Ag0007,,Ssp1Cg0005,Ssp1Dg0058,,,,
Ssp1Ag0008,,Ssp1Cg0010,.,,,,
Ssp1Ag0009,,.,.,,,,
Ssp1Ag0010,,.,Ssp1Dg0069,,,,
Ssp1Ag0011,,.,.,,,,
Ssp1Ag0012,,.,.,,,,
Ssp1Ag0013,,Ssp1Cg0011,.,,,,
Ssp1Ag0014,,Ssp1Cg0012,.,,,,
Ssp1Ag0015,,.,.,,,,
Ssp1Ag0016,,.,Ssp1Dg0070,,,,
Ssp1Ag0017,,.,Ssp1Dg0069,,,,
Ssp1Ag0018,,.,Ssp1Dg0068,,,,
Ssp1Ag0019,,.,Ssp1Dg0067,,,Ssp1Cg1690,
Ssp1Ag0020,,.,Ssp1Dg0065,,,.,
Ssp1Ag0021,,.,Ssp1Dg0064,,,.,
Ssp1Ag0022,,.,Ssp1Dg0063,,,.,
Ssp1Ag0023,,.,.,,,.,
Ssp1Ag0024,,.,Ssp1Dg0061,,,.,
Ssp1Ag0025,,.,Ssp1Dg0060,,,.,
Ssp1Ag0026,,.,.,,,.,
Ssp1Ag0027,,.,.,,,.,
Ssp1Ag0028,,.,.,,,.,
Ssp1Ag0029,,.,.,,,.,
Ssp1Ag0030,,.,Ssp1Dg0059,,,Ssp1Cg1673,
Ssp1Ag0031,,.,.,,,.,
Ssp1Ag0032,,Ssp1Cg0013,Ssp1Dg0057,,,Ssp1Cg1658,Ssp1Dg1676
Ssp1Ag0033,,.,Ssp1Dg0081,,,Ssp1Cg1641,.
Ssp1Ag0034,,.,.,,,Ssp1Cg1640,Ssp1Dg1663
Ssp1Ag0035,,.,.,,,.,.
Ssp1Ag0036,,Ssp1Cg0560,.,,,Ssp1Cg1631,Ssp1Dg1653
Ssp1Ag0037,,.,.,,,.,.
Ssp1Ag0038,Ssp1Bg0007,Ssp1Cg0561,.,,,.,.
Ssp1Ag0039,Ssp1Bg0008,.,.,,,.,.
Ssp1Ag0040,.,Ssp1Cg0564,.,,,.,.
Ssp1Ag0041,.,Ssp1Cg0014,Ssp1Dg0083,,,.,.
Ssp1Ag0042,.,Ssp1Cg0015,.,,,.,.
Ssp1Ag0043,.,.,.,,,.,.
Ssp1Ag0044,.,Ssp1Cg0565,.,,,.,.
Ssp1Ag0045,Ssp1Bg0010,Ssp1Cg0566,.,,,Ssp1Cg1630,Ssp1Dg1651
Ssp1Ag0046,.,Ssp1Cg0016,Ssp1Dg0085,,,.,.
Ssp1Ag0047,.,.,.,,,.,.
Ssp1Ag0048,.,.,.,,,.,.
Ssp1Ag0049,.,.,.,,,.,.
Ssp1Ag0050,.,Ssp1Cg0021,.,,,.,.
Ssp1Ag0051,Ssp1Bg0024,Ssp1Cg0022,Ssp1Dg0086,,,.,.
Ssp1Ag0052,.,Ssp1Cg0022,Ssp1Dg0087,,,.,.
Ssp1Ag0053,.,Ssp1Cg0021,Ssp1Dg0088,,,Ssp1Cg1620,.
Ssp1Ag0054,.,Ssp1Cg0020,Ssp1Dg0090,,,.,.
Ssp1Ag0055,.,Ssp1Cg0019,Ssp1Dg0091,,,.,.
Ssp1Ag0056,.,Ssp1Cg0018,Ssp1Dg0092,,,Ssp1Cg1618,Ssp1Dg1641
Ssp1Ag0057,.,Ssp1Cg0040,.,,,.,.
Ssp1Ag0058,.,Ssp1Cg0038,.,,,.,.
Ssp1Ag0059,Ssp1Bg0021,Ssp1Cg0036,.,,,.,.
Ssp1Ag0060,Ssp1Bg0020,Ssp1Cg0034,Ssp1Dg0098,,,.,.
Ssp1Ag0061,Ssp1Bg0019,Ssp1Cg0029,Ssp1Dg0099,,,.,.
Ssp1Ag0062,Ssp1Bg0022,Ssp1Cg0037,.,,,Ssp1Cg1607,.
Ssp1Ag0063,Ssp1Bg0023,.,.,,,,.
Ssp1Ag0064,Ssp1Bg0017,Ssp1Cg0025,.,,,,Ssp1Dg1633
Ssp1Ag0065,Ssp1Bg0025,Ssp1Cg0017,.,,,,Ssp1Dg1632
Ssp1Ag0066,.,Ssp1Cg0052,.,,,,
Ssp1Ag0067,.,Ssp1Cg0042,.,,,,
Ssp1Ag0068,Ssp1Bg0030,.,Ssp1Dg0102,,,,
Ssp1Ag0069,.,Ssp1Cg0076,.,,,,
Ssp1Ag0070,Ssp1Bg0036,Ssp1Cg0050,Ssp1Dg0106,,,,
Ssp1Ag0071,Ssp1Bg0037,Ssp1Cg0048,Ssp1Dg0107,,,,
Ssp1Ag0072,.,Ssp1Cg0044,.,,,,
Ssp1Ag0073,.,Ssp1Cg0046,Ssp1Dg0110,,,,
Ssp1Ag0074,Ssp1Bg0038,Ssp1Cg0047,.,,,,
Ssp1Ag0075,Ssp1Bg0042,Ssp1Cg0044,.,,,,
Ssp1Ag0076,Ssp1Bg0046,Ssp1Cg0058,.,,,,
Ssp1Ag0077,Ssp1Bg0047,Ssp1Cg0059,.,,,,
Ssp1Ag0078,Ssp1Bg0050,Ssp1Cg0069,Ssp1Dg0112,,,,
Ssp1Ag0079,Ssp1Bg0051,Ssp1Cg0062,.,,,,
Ssp1Ag0080,.,.,.,,,,
Ssp1Ag0081,Ssp1Bg0053,Ssp1Cg0061,.,,,,
Ssp1Ag0082,.,Ssp1Cg0060,.,,,,
Ssp1Ag0083,.,Ssp1Cg0067,.,,,,
Ssp1Ag0084,.,Ssp1Cg0071,.,,,,
Ssp1Ag0085,.,.,.,,,,
Ssp1Ag0086,.,.,.,,,,
Ssp1Ag0087,.,Ssp1Cg0072,.,,,,
Ssp1Ag0088,Ssp1Bg0055,Ssp1Cg0073,Ssp1Dg0114,Ssp1Ag2403,,,
Ssp1Ag0089,.,Ssp1Cg0078,.,.,,,
Ssp1Ag0090,Ssp1Bg0056,.,Ssp1Dg0115,Ssp1Ag2390,,,
Ssp1Ag0091,Ssp1Bg0057,.,.,.,,,
Ssp1Ag0092,.,.,.,.,,,
Ssp1Ag0093,.,.,.,.,,,
Ssp1Ag0094,.,.,.,Ssp1Ag2385,,,
Ssp1Ag0095,Ssp1Bg0059,Ssp1Cg0079,.,.,,,
Ssp1Ag0096,.,.,.,.,,,
Ssp1Ag0097,Ssp1Bg0062,Ssp1Cg0081,Ssp1Dg0121,Ssp1Ag2377,,,
Ssp1Ag0098,.,.,.,.,,,
