Osa01g00001,,,,Ssp3Dg1516,,,,
Osa01g00002,Ssp3Ag1955,Ssp3Bg2165,,.,,,,
Osa01g00003,.,.,,.,,,,
Osa01g00004,.,.,,.,,,,
Osa01g00005,Ssp3Ag1959,Ssp3Bg2171,Ssp3Cg2518,Ssp3Dg1521,,,,
Osa01g00006,.,.,.,.,,,,
Osa01g00007,Ssp3Ag1960,.,Ssp3Cg2519,Ssp3Dg1522,,,,
Osa01g00008,Ssp3Ag1961,Ssp3Bg2172,Ssp3Cg2520,Ssp3Dg1523,,,,
Osa01g00009,.,Ssp3Bg2175,Ssp3Cg2523,Ssp3Dg1525,,,,
Osa01g00010,.,.,.,.,,,,
Osa01g00011,.,.,.,.,,,,
Osa01g00012,.,Ssp3Bg2176,.,.,,,,
Osa01g00013,Ssp3Ag1963,Ssp3Bg2177,Ssp3Cg2524,.,,,,
Osa01g00014,.,.,.,.,,,,
Osa01g00015,.,.,.,.,,,,
Osa01g00016,Ssp3Ag1965,Ssp3Bg2179,Ssp3Cg2526,Ssp3Dg1526,,,,
Osa01g00017,Ssp3Ag1966,Ssp3Bg2182,Ssp3Cg2528,Ssp3Dg1527,,,,
Osa01g00018,.,Ssp3Bg2189,Ssp3Cg2532,.,,,,
Osa01g00019,Ssp3Ag1972,Ssp3Bg2191,.,.,,,,
Osa01g00020,.,Ssp3Bg2193,Ssp3Cg2533,Ssp3Dg1530,,,,
Osa01g00021,.,.,.,.,,,,
Osa01g00022,.,Ssp3Bg2194,Ssp3Cg2534,Ssp3Dg1531,,,,
Osa01g00023,.,.,.,.,,,,
Osa01g00024,.,.,Ssp3Cg2535,Ssp3Dg1532,,,,
Osa01g00025,.,.,.,.,,,,
Osa01g00026,.,.,.,.,,,,
Osa01g00027,Ssp3Ag1978,Ssp3Bg2196,.,.,,,,
Osa01g00028,.,Ssp3Bg2198,Ssp3Cg2538,.,,,,
Osa01g00029,.,.,Ssp3Cg2542,.,,,,
Osa01g00030,.,Ssp3Bg2199,Ssp3Cg2545,.,,,,
Osa01g00031,Ssp3Ag1979,Ssp3Bg2201,.,Ssp3Dg1534,,,,
Osa01g00032,.,.,.,.,,,,
Osa01g00033,.,.,.,.,,,,
Osa01g00034,Ssp3Ag1984,.,Ssp3Cg2549,Ssp3Dg1536,,,,
Osa01g00035,Ssp3Ag1986,.,Ssp3Cg2550,Ssp3Dg1537,,,,
Osa01g00036,Ssp3Ag1988,Ssp3Bg2204,Ssp3Cg2551,Ssp3Dg1539,,,,
Osa01g00037,Ssp3Ag1990,.,.,.,,,,
Osa01g00038,.,.,.,Ssp3Dg1541,,,,
Osa01g00039,.,.,.,.,,,,
Osa01g00040,Ssp3Ag1991,Ssp3Bg2205,Ssp3Cg2553,Ssp3Dg1542,,,,
Osa01g00041,Ssp3Ag1992,.,.,.,,,,
Osa01g00042,.,.,.,.,,,,
Osa01g00043,.,.,.,.,,,,
Osa01g00044,.,.,.,.,,,,
Osa01g00045,.,.,.,.,,,,
Osa01g00046,Ssp3Ag1993,.,Ssp3Cg2554,Ssp3Dg1543,,,,
Osa01g00047,.,.,.,.,,,,
Osa01g00048,.,.,.,.,,,,
Osa01g00049,.,.,.,.,,,,
Osa01g00050,.,.,.,.,,,,
Osa01g00051,.,.,Ssp3Cg2563,.,,,,
Osa01g00052,.,.,.,.,,,,
Osa01g00053,Ssp3Ag1995,Ssp3Bg2208,Ssp3Cg2564,.,,,,
Osa01g00054,Ssp3Ag1996,.,.,Ssp3Dg1544,,,,
Osa01g00055,Ssp3Ag1997,Ssp3Bg2209,.,Ssp3Dg1546,,,,
Osa01g00056,Ssp3Ag1998,Ssp3Bg2210,.,.,,,,
Osa01g00057,.,.,.,.,,,,
Osa01g00058,.,.,.,.,,,,
Osa01g00059,.,.,.,.,,,,
Osa01g00060,Ssp3Ag2013,.,.,Ssp3Dg1549,,,,
Osa01g00061,Ssp3Ag2012,.,Ssp3Cg2565,Ssp3Dg1551,,,,
Osa01g00062,Ssp3Ag2011,.,Ssp3Cg2566,Ssp3Dg1552,,,,
Osa01g00063,Ssp3Ag2009,.,Ssp3Cg2567,.,,,,
Osa01g00064,.,.,.,.,,,,
Osa01g00065,Ssp3Ag2005,.,Ssp3Cg2568,Ssp3Dg1554,,,,
Osa01g00066,.,.,.,.,,,,
Osa01g00067,.,Ssp3Bg2213,.,.,,,,
Osa01g00068,.,Ssp3Bg2214,.,Ssp3Dg1557,,,,
Osa01g00069,Ssp3Ag2037,.,Ssp3Cg2569,.,,,,
Osa01g00070,.,.,.,.,,,,
Osa01g00071,.,.,.,.,,,,
Osa01g00072,.,.,.,.,,,,
